_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
295,ALLARDYCE,Street,,GRACEVILLE
296,ALLARTON,Street,,COOPERS PLAINS
297,ALLAWAH,Road,,CHUWAR
298,ALLAWAH,Street,,YEERONGPILLY
299,ALLBUTT,Street,,KURABY
300,ALLEENA,Street,,CHERMSIDE
301,ALLEN,Close,,FOREST LAKE
302,ALLEN,Street,,CORINDA
303,ALLEN,Street,,HAMILTON
304,ALLEN,Street,,SANDGATE
305,ALLEN,Street,,SOUTH BRISBANE
306,ALLEN,Street,,WYNNUM
307,ALLENBY,Street,,SPRING HILL
308,ALLENDALE,Street,,CHANDLER
309,ALLINGA,Street,,MOUNT GRAVATT EAST
310,ALLINGHAM,Street,,KURABY
311,ALLINGTON,Street,,CARINDALE
312,ALLIRA,Crescent,,CARSELDINE
313,ALLISON,Street,,BOWEN HILLS
314,ALLISTER,Street,,BOONDALL
315,ALLOA,Street,,WYNNUM WEST
316,ALLOM,Street,,WINDSOR
317,ALLORA,Street,,GRACEVILLE
318,ALLOWAY,Close,,PALLARA
319,ALLOWRIE,Street,,STAFFORD
320,ALLPASS,Parade,,SHORNCLIFFE
321,ALLSPICE,Street,,BELLBOWRIE
322,ALLWOOD,Street,,INDOOROOPILLY
323,ALLWORTH,Street,,NORTHGATE
324,ALMA,Road,,CLAYFIELD
325,ALMA,Street,,PADDINGTON
326,ALMAVALE,Street,,CARINDALE
327,ALMAY,Street,,KENMORE
328,ALMEIDA,Street,,INDOOROOPILLY
329,ALMOND,Street,,NORTHGATE
330,ALMORA,Street,,LUTWYCHE
331,ALMORA,Street,,WOOLOOWIN
332,ALNESS,Street,,WYNNUM WEST
333,ALOE,Street,,WAVELL HEIGHTS
334,ALOOMBA,Road,,ASHGROVE
335,ALOOMBA,Street,,BALMORAL
336,ALPENA,Close,,CARINDALE
337,ALPERTON,Road,,BURBANK
338,ALPHA,Street,,TARINGA
339,ALPHITONIA,Court,,MOGGILL
340,ALPHITONIA,Crescent,,SUNNYBANK HILLS
341,ALPHITONIA,Street,,SEVENTEEN MILE ROCKS
342,ALPINE,Place,,BELMONT
343,ALPINE,Place,,FOREST LAKE
344,ALPINE,Street,,BALD HILLS
345,ALPINE,Street,,KEPERRA
346,ALPINEA,Court,,SINNAMON PARK
347,ALPINIA,Place,,CALAMVALE
348,ALPITA,Street,,KURABY
349,ALROY,Street,,ACACIA RIDGE
350,ALSTONIA,Street,,ALGESTER
351,ALTAIR,Street,,INALA
352,ALTANDI,Street,,RUNCORN
353,ALTANDI,Street,,SUNNYBANK
354,ALTER,Street,,WYNNUM WEST
355,ALTHEA,Close,,SINNAMON PARK
356,ALTHEA,Street,,SALISBURY
357,ALTHORP,Road,,BRIDGEMAN DOWNS
358,ALTHORP,Road,,MCDOWALL
359,ALTITUDE,Street,,ROCHEDALE
360,ALTOFT,Street,,KURABY
361,ALTOLA,Street,,DURACK
362,ALTON,Street,,COOPERS PLAINS
363,ALTON,Terrace,,THE GAP
364,ALUMUNA,Street,,SUNNYBANK HILLS
365,ALUTHA,Road,,THE GAP
366,ALUTHA,Street,,CANNON HILL
367,ALVA,Terrace,,GORDON PARK
368,ALVERNA,Close,,WYNNUM
369,ALVERSTONE,Street,,BANYO
370,ALVESTON,Street,,ACACIA RIDGE
371,ALWYN,Street,,STAFFORD HEIGHTS
372,AMADEUS,Place,,ASPLEY
373,AMADEUS,Place,,WESTLAKE
374,AMALFI,Street,,PALLARA
375,AMAMOOR,Court,,FOREST LAKE
376,AMANDA,Place,,BRIDGEMAN DOWNS
377,AMANDA,Street,,BROOKFIELD
378,AMANDA,Street,,WYNNUM WEST
379,AMARA,Crescent,,FOREST LAKE
380,AMARANTHUS,Street,,RUNCORN
381,AMARINA,Avenue,,ASHGROVE
382,AMARNA,Street,,EIGHT MILE PLAINS
383,AMAROO,Street,,ARCHERFIELD
